,comp_name,description,business_model,customer,keywords,stage,total_funding,num_investors,date_founded,location,employees,website
721,gogogate,"Open, close and monitor your garage door from anywhere. Gogogate2 is compatible with both garage doors and gates. The perfect solution for monitoring the access to your home, office or warehouse.",,,ICT & MobileCybersecurity Undisclosed Funding,-,,, 2013,,4,http://startupshub.catalonia.com
722,goo apps,"Goo Apps is a custom software development company. We are specialised in the consultancy and development of fully-customized B2B mobile applications.  We make the digitalization of the processes possible through our services of mobile consulting, design and development of iOS and Android applications.  We are digital transformation as partners of medium and large scale organisations with which we keep working day-to-day and trust us with all their Apps.","Consultancy & Agency, Development & Manufacturing, R+D+I Services, Software licence, Other types of licence, Subscription",,ICT & MobileAutomationHealthtech Hardware Sustainable mobility AR/VR AI & Big Data IoT & Sensors Digital Health  Series A,Series A,,, 2016,,5,http://startupshub.catalonia.com
723,goparity,GoParity is an impact investment platform that connects companies and organizations promoting sustainable projects with citizens who want to invest in these projects and get a positive return.,"Consultancy & Agency, R+D+I Services",,"FintechAI & Big DataIoT & Sensors Connectivity Automation Digital Health Electric Vehicle & Micromobility CO2 Capture, Storage & Reuse Water cycle technologies Recycling & Recovery  Seed",Seed,,, 2017,,0,http://startupshub.catalonia.com
724,go—popup,"Mission: Empower brands, agencies and creatives to find perfectly matching spaces to launch pop-up stores everywhere in the world. Vision: Become the leading worldwide marketplace to rent short-term space and make pop-up retail accessible to anyone.","Consultancy & Agency, Marketplace, Saas",,ProptechCloud & Edge Computing Seed,Seed,,, 2012,,12,http://startupshub.catalonia.com
725,grader.tech,Eduactional tool. Platform designed for estudent teachers and students' relatives in order to help them in the education success.,,,EdtechAI & Big Data Pre-seed,Pre-seed,,, 2020,,2,http://startupshub.catalonia.com
726,graphenicalab,"GraphenicaLab is nanotechnology company focused in Graphene-based printed electronics devices. Our R&D is focused in the development of specific flexible graphene sensors as well as using other nano-inks to further the exceptional behaviour Graphene can offer on multiple applications.   As per today, GraphenicaLab has succeeded in developing a state-of-the-art graphene sensor that has been  acclaimed by industry in the Advanced Factories 4.0 Awards held in Barcelona in 2020.","Development & Manufacturing, R+D+I Services",,"HardwareFrontier materialsRobotics & Collaborative Robotics Connectivity Automation Hydrogen Electric Vehicle & Micromobility CO2 Capture, Storage & Reuse Micro & Nano electronics Batteries & Storage  Undisclosed Funding",-,,, 2016,,9,http://startupshub.catalonia.com
727,green earth aerogels,"Green Earth Aerogel Technologies develops products, services, and technologies to help protect the environment. Advance materials using nanotech to make low cost ecofriendly aerogels","Marketplace, Others",,Green & EnergytechFrontier materials Pre-seed,Pre-seed,,, 2011,,3,http://startupshub.catalonia.com
728,"green rock, compedra, rocsuro.","Bio-handicrafts and sustainable bio-construction based on the use of forestry, industrial, botanical and domestic waste.",Development & Manufacturing,,Green & EnergytechAI & Big Data Series A,Series A,,, 2017,,7,http://startupshub.catalonia.com
729,gretel,"Gretel is building the next generation of your digital workspace, an intelligent operating system that tells you what’s happening at your company, empowering employees to be better informed at their jobs.",Saas,,Business Services & SoftwareAI & Big Data Pre-seed,Pre-seed,,, 2022,,5,http://startupshub.catalonia.com
730,gringrin foods,"Plant-based food for all moments of consumption. Food is part of the culture, traditions, beliefs, collective memory and everyday life of a people. This is why we generate a real impact by making delicious, accessible and culturally acceptable products, so that consumers can introduce them into their consumption to introduce them into their consum.",Development & Manufacturing,,FoodtechAI & Big Data Seed,Seed,,, 2019,,9,http://startupshub.catalonia.com
731,groenlandia tech,Groenlandia coolers are built using optimized materials to improve their performance,"Saas, Software licence",,ICT & MobileAI & Big DataCloud & Edge Computing Connectivity Digital Health  Series A,Series A,,, 2020,,14,http://startupshub.catalonia.com
732,groots urban farming,Vertical Farming,Development & Manufacturing,,AgritechAutomationRobotics & Collaborative Robotics  Undisclosed Funding,-,,, 2019,,0,http://startupshub.catalonia.com
733,growlia,Platform to Evaluate and Develop Soft Skills,"Marketplace, Saas, Software licence",,EdtechAI & Big DataDigital Health  Seed,Seed,,, 2019,,9,http://startupshub.catalonia.com
734,guidedoc,"GuideDoc is a global curated documentary streaming platform. The Netflix of documentaries.  Since the launch of GuideDoc (September 2016), our apps have been downloaded 8774 times and we've had a total of 1205 subscribed users. Our audience is mainly from USA, UK, CANADA, NETHERLANDS, CHINA.",,,Digital Content & MediaCloud & Edge Computing Seed,Seed,,, 2016,,8,http://startupshub.catalonia.com
