,comp_name,description,business_model,customer,keywords,stage,total_funding,num_investors,date_founded,location,employees,website
0,amv caps de fornell,AMV CAPS is a company dedicated to the grinding and packaging of last generation coffee capsules.,Development & Manufacturing,,FoodtechAutomation Undisclosed Funding,-,,, 2013,,0,http://startupshub.catalonia.com
1,analitza,"Analitza helps companies reduce customer churn and drive cross-sells. Analitza detects which customers are at risk of churning and allows you act before it is too late.  Analitza takes advantage of the latest technologies in Artificial Intelligence to automatically learn the purchasing patterns of your customers, and it is able to detect when they change their behaviour.",Consultancy & Agency,,Business Services & SoftwareAI & Big Data Pre-seed,Pre-seed,,, 2017,,3,http://startupshub.catalonia.com
2,antartics,Antartics is a holding company developing and growing digital solutions to monetise social media audiences.,"Advertising, Consultancy & Agency",,AdtechAI & Big Data Undisclosed Funding,-,,, 2019,,0,http://startupshub.catalonia.com
3,antiloop studio,"Antiloop is a creative-tech studio that combines the physical and digital worlds, to create fascinating innovative experiences. It offers marketing and advertising tools to brands, agencies and public organizations","Advertising, R+D+I Services",,Digital Content & MediaAR/VR Undisclosed Funding,-,,, 2015,,0,http://startupshub.catalonia.com
4,aonchip,Develop IOT devices,"Development & Manufacturing, Marketplace, R+D+I Services",,HardwareConnectivityAI & Big Data IoT & Sensors Cloud & Edge Computing Water cycle technologies  Pre-seed,Pre-seed,,, 2018,,4,http://startupshub.catalonia.com
5,april plants,Company that has developed an application and a home plants website.,"Ecommerce & Trade, Marketplace, Saas, Subscription",,EcommerceNo technology assigned Undisclosed Funding,-,,,,,0,http://startupshub.catalonia.com
6,arch max,"Thanks  to  the  creativity  and  efficiency  of  the  team,  it  has  become  a  benchmark  in  the  footwear  field.  All  this  Know  how  transformed  us  into  a  laboratory  of  design  and  production  of  sports  equipment.","Development & Manufacturing, Ecommerce & Trade, R+D+I Services",,SportsAI & Big DataFashion & Design  Series A,Series A,,, 2012,,3,http://startupshub.catalonia.com
7,arrowfist,"Arrowfist Games is a small indie company based in Barcelona, formed by four members, with several years of experience in the videogame industry.","Software licence, Subscription",,GamingIoT & Sensors Undisclosed Funding,-,,, 2021,,0,http://startupshub.catalonia.com
8,artesans en xarxa,Marketplace venda al detalle.,Ecommerce & Trade,,EcommerceConnectivity Seed,Seed,,, 2019,,4,http://startupshub.catalonia.com
9,ase optics europe,"ASE Optics Europe specializes in optical engineering, design and fabrication for product development. We design and develop custom optoelectronic and optomechanical systems, precision optics and prototypes.","Development & Manufacturing, R+D+I Services, Others",,HealthtechAutomation Seed,Seed,,, 2011,,8,http://startupshub.catalonia.com
10,"asgard space, sociedad limitada",Asgard enables transparent and safe use of geostationary orbits by providing high accuracy ephemerides to support satellite operations and space situational awareness.,,,ICT & MobileAutomation Series B,Series B,,, 2018,,0,http://startupshub.catalonia.com
11,associació sheleader,"A community of women entrepreneurs, businesswomen and managers, working for your professional growth and development. Through networks to innovate, co-create and advance gender equality",Subscription,,Community & Social networkConnectivity Undisclosed Funding,-,,, 2018,,0,http://startupshub.catalonia.com
12,atelier mel,"Art, technology and engineering blended in a process that enables the design and creation of limitless art installations",Ecommerce & Trade,,Fashion & DesignAutomation Undisclosed Funding,-,,, 2014,,0,http://startupshub.catalonia.com
13,atm media,"ATM Media TV offers live video to sports teams, leagues and facilities through an award-winning, affordable video and analytics solution.","Ecommerce & Trade, Others",,Digital Content & MediaAI & Big Data Undisclosed Funding,-,,, 2021,,0,http://startupshub.catalonia.com
14,atriom,"ATRIOM is a multisided platform made by Installers for Installers that puts in contact professionals with end-customers in the Utility Market.  Atriom's aim is to create a MSP for energy and energy efficiency market and  structure it with fair prices (VAT incl.), the highest standards of safety and  service.  Atriom's cloud-based platform provides a ""Uber-like"" service to Customers and a powerful tool to its affiliated. It is fully scalable.  Acquiring more data  we will activate Big Data and AI.","Ecommerce & Trade, Marketplace",,Business Services & SoftwareAI & Big Data Pre-seed,Pre-seed,,, 2018,,2,http://startupshub.catalonia.com
15,attendo.me,Attendo is a Cloud Web and SaaS software of ticketing helpdesk andservices. All companies can communicate digitally with customers and suppliers. Two-way omnichannel is very broad from intelligent VoIP calls intelligent email management interaction with social networks WhatsApp SMS integration with IoT devices ... Our platform can be used from the office through a mobile app or remotely. All interactions and communications are fully recorded as well as documents photos files.,"Saas, Software licence",,Business Services & SoftwareCloud & Edge ComputingRobotics & Collaborative Robotics AI & Big Data IoT & Sensors Connectivity  Pre-seed,Pre-seed,,, 2020,,7,http://startupshub.catalonia.com
16,aureel tech,Aureel is a company specialized in the development of innovative sports electronic products to optimize the performance of training in different disciplines such as running or swimming using space technology.,,,SportsIoT & Sensors Undisclosed Funding,-,,, 2016,,0,http://startupshub.catalonia.com
17,ausum cloud,"Nuestra visión es que los servicios de nube pública son una ventaja a explotar y queremos contribuir a que las compañías puedan ser más competitivas y ofrecer mejor servicio a sus clientes, dedicando el foco en otras actividades de más valor específico para su negocio.",,,Business Services & SoftwareCloud & Edge ComputingAI & Big Data IoT & Sensors DLT/Blockchain Automation  Undisclosed Funding,-,,, 2016,,0,http://startupshub.catalonia.com
18,"avenueplanet, s.l.","Avenue Planet is the optimal experience hub for Virtual Reality. Users can walk down the 12 most important avenues in the world and access the top 1,000 most breathtaking experiences from the comfort of their own home.",,,AdtechAR/VR Undisclosed Funding,-,,, 2012,,0,http://startupshub.catalonia.com
19,avuxi,"AVUXI analyzes geo-tagged BigData from multiple sources to help uncover the social highlights of any place in the world, instantly visualizing what areas are popular for what, who and when. Mission: To give every company or person the power to truly understand location to make better decisions.","Saas, Subscription",,Traveltech & LeisureAI & Big Data Seed,Seed,,, 2017,,5,http://startupshub.catalonia.com
20,axess networks,Leading global player in the satellite communications industry. Líder global en telecomunicaciones satelitale,"Consultancy & Agency, Development & Manufacturing",,ICT & MobileNBS (Nature Based Solutions) Undisclosed Funding,-,,, 2019,,0,http://startupshub.catalonia.com
21,abacum,"FP&A software for technology financing teams. Goodbye, manual and time-consuming tasks. Hello, fast and valuable business information.",Software licence,,Business Services & SoftwareAI & Big DataICT & Mobile  Series B,Series B,,, 2020,,30,http://startupshub.catalonia.com
22,abaq online services,"Digital management for the self-employed. This company has created an infallible accounting technology to account for your client's business taxes. This technology, together with a team of expert advisors, means that with Abaq the user can know at all times how their business and taxes are going in an easy and simple way.","Consultancy & Agency, Saas, Software licence",,Business Services & SoftwareCloud & Edge Computing Undisclosed Funding,-,,, 2020,,0,http://startupshub.catalonia.com
23,abeona health,Abeona is a mobile application that allows you to control the symptoms of cancer patients through an intelligent reporting and alert system.,,,HealthtechAI & Big Data Undisclosed Funding,-,,, 2018,,0,http://startupshub.catalonia.com
24,abitari,"In Abitari, we develop technology to turn any tablet into a Check-In Kiosk for Hotels. By placing a tablet in the front desk, clients are able to check-in in their native language with a few clicks. With this check-in, lines at the front are reduced and clients don't have to wait. We are focus to improve customer satisfaction in a Hotel.","Development & Manufacturing, Saas, Subscription",,Business Services & SoftwareCloud & Edge ComputingHardware ICT & Mobile Proptech Traveltech & Leisure AI & Big Data IoT & Sensors Automation  Series A,Series A,,, 2016,,8,http://startupshub.catalonia.com
25,abroaden,The first wealth-building platform made for people living abroad,Subscription,,FintechAI & Big Data Pre-seed,Pre-seed,,, 2020,,0,http://startupshub.catalonia.com
26,abzu,"Abzu’s pioneering machine learning technology is inspired by quantum mechanics and neural networks, resulting in a transparent and trustworthy AI. Founded in February 2018, Abzu is an applied research startup with offices in Copenhagen, Denmark and Barcelona, Spain.",,,HealthtechAI & Big DataDigital Health  Series B,Series B,,, 2018,,0,http://startupshub.catalonia.com
27,academicid,"Connecting education in the XXI century provides a free, easy-to-use, amenable and accessible learning environment from any device.",,,EdtechCloud & Edge Computing Undisclosed Funding,-,,, 2014,,0,http://startupshub.catalonia.com
28,academy wee,Social startup,"Saas, Subscription",,EdtechIoT & Sensors Pre-seed,Pre-seed,,, 2020,,4,http://startupshub.catalonia.com
29,acceleralia,"In Acceleralia we develop digital solutions for each industry. Our mission is contributing to institutions to eliminate functional barriers, improve their communication, increase the engagement of their clients and workers and increase their efficiency.  We support corporations, enterprises, education institutions, public administrations, accelerators, and incubators to transform ideas into tangible reality.","Saas, Subscription",,EdtechAI & Big Data Undisclosed Funding,-,,, 2020,,4,http://startupshub.catalonia.com
30,acceplan accesibilidad,"Acceplan is a multidisciplinary technical team that works in consultancy, research and training to improve accessibility in an urban environment, building and transport.",Consultancy & Agency,,Sustainable mobilitySmart City Undisclosed Funding,-,,, 2013,,0,http://startupshub.catalonia.com
31,accexible,"AcceXible is a startup developing a speech analysis platform based on AI models to early detect diseases as dementia, parkinson and coronary disease, among others. Our solution enables a rapid, digital, cost effective tool to diagnose and monitor diseases.","Saas, Subscription",,HealthtechAI & Big Data Pre-seed,Pre-seed,,, 2017,,4,http://startupshub.catalonia.com
32,accure therapeutics,"Accure Therapeutics is a R&D pharma company dedicated to developing innovative medicines to treat patients suffering from Central nervous system diseases. Our scientific strategies are driven by the recent advances in neurobiology, neurodegeneration, and neuroinflammation, and on our understanding of the pathogenesis of brain diseases at the genetic, molecular, cellular and system level. We select relevant targets, and search for drugs that act through them to combat the neurological disease.",Saas,,HealthtechBioengineering & Regenerative medicine Pre-seed,Pre-seed,,,,,8,http://startupshub.catalonia.com
33,ackcent,"Ackcent is a company specialized and exclusively dedicated to provide cybersecurity services and solutions. The company offers mission-critical services to detect, respond and manage cyber-attacks, monitoring 24/7 security operations through its data driven security products and cloud managed security services.","Consultancy & Agency, Saas",,ICT & MobileCybersecurityBusiness Services & Software Ecommerce Fintech AI & Big Data IoT & Sensors Cloud & Edge Computing  Series B,Series B,,, 2014,,45,http://startupshub.catalonia.com
34,acrelia news,"Acrelia News simplifica la creación, envío y seguimiento de tus campañas de email",,,AdtechAI & Big Data Undisclosed Funding,-,,, 2020,,0,http://startupshub.catalonia.com
35,additio app,Digital notebook for teachers for improving class management. It adapts to the requirements of any education system.,Software licence,,EdtechCloud & Edge Computing Series A,Series A,,, 2015,,6,http://startupshub.catalonia.com
36,adibas posture,"Research, development and marketing of software aimed at health professionals and physical activity. PhysicalTech solutions provide professional complementary technological support to implement to patients or athletes. We develop technological solutions integrated in areas as diverse as physiotherapy, medicine, podiatry, osteopathy or physical activity. The ""ADIBAS posture"" clinical diagnosis system can analize automatically the body posture in 3D.",Software licence,,HealthtechIoT & Sensors Pre-seed,Pre-seed,,, 2014,,1,http://startupshub.catalonia.com
37,adictik,"Aplicació de reptes virals patrocinats per marques, influencers i famosos.","Advertising, Consultancy & Agency",,Community & Social networkAI & Big Data Seed,Seed,,, 2013,,4,http://startupshub.catalonia.com
38,adinton technologies,Adinton predicts of a web site visitor are going to buy. Our clients with this information can launch special marketing campaigns or generate personalized content for increasing revenue.,"Consultancy & Agency, Saas",,AdtechAI & Big DataDigital Content & Media  Series A,Series A,,, 2011,,10,http://startupshub.catalonia.com
39,adpone,Adpone is an advertising technology company specialized in mobile and desktop technologies.,"Advertising, Others",,AdtechAI & Big Data Pre-seed,Pre-seed,,, 2015,,0,http://startupshub.catalonia.com
40,adsmurai,"Adsmurai is an advertising management platform on Facebook, Twitter, Instagram and YouTube. We have created software that helps to maximize the ROI of your campaigns, using the resources invested as efficiently as possible. Adsmurai will help your advertising strategy on social networks to achieve the planned digital marketing objectives. - cost reduction - improving the quality of the execution of campaigns – maximizing ROI - access to new formats and API enhancements on Facebook and Twitter.","Consultancy & Agency, Saas, Software licence",,AdtechAI & Big DataCommunity & Social network  Series A,Series A,,, 2014,,115,http://startupshub.catalonia.com
41,advanced nanotechnologies,Licencing solutions based on nanocoatings and nanoparticles for industrial companies.,"Development & Manufacturing, R+D+I Services, Other types of licence",,HealthtechFrontier materialsAutomation  Seed,Seed,,, 2012,,4,http://startupshub.catalonia.com
42,advancing,"Advancing is the first fintech solution applied to the proptech sector that offers landlords the possibility of receiving immediately 12 months of their rents in advance, while protecting them against default payments from their tenants. 



We rely on partnerships through real estate agents to commercialize our product, which costs 12% of the annual rent and gives us a profit margin of around 17%. Our human capital and backend are our main resources to carry out our activity.",Subscription,,ProptechCloud & Edge Computing Seed,Seed,,, 2018,,7,http://startupshub.catalonia.com
43,adver2play,"We are the creators of Scriptum, the first AR Escape Room platform ever. Scriptum is available on the Apple Store and Google Play to entertain users but we also have a B2B platform to teach employees through a learning by doing experience in Augmented/Virtual/Mixed Reality.  This kind of trainings allows to increase the retention in 300%. We also have a Consulting division to create any kind of experiences in the newest technologies AR/VR/MR.","Advertising, Consultancy & Agency, Subscription",,GamingAR/VRAdtech Digital Content & Media ICT & Mobile  Seed,Seed,,, 2017,,5,http://startupshub.catalonia.com
44,aelix therapeutics,"Aelix Therapeutics is a spin-off of HIVACAT, one of Europe's leading HIV research programmes, located in Barcelona.",,,HealthtechVaccines Series B,Series B,,, 2015,,4,http://startupshub.catalonia.com
45,aerial insights,Aerial Insights puts at your disposal the most advanced technology for drone image processing. Perform topography with drones in a simple and economical way. With our online platform you can process your images and generate different types of maps,Saas,,ICT & MobileAI & Big Data Pre-seed,Pre-seed,,, 2016,,0,http://startupshub.catalonia.com
46,aeronautic,"We provide airlines with Shoganai, the first solution in the market that installs a hardware device in the airplane to control its operating costs in real time and achieve such savings. This is a worldwide novelty and a huge business opportunity",,,HardwareDLT/BlockchainAR/VR AI & Big Data IoT & Sensors  Seed,Seed,,, 2016,,10,http://startupshub.catalonia.com
47,aexspace,Robotics and UAV Security manufacturer,Development & Manufacturing,,HardwareIoT & Sensors Series A,Series A,,, 2021,,14,http://startupshub.catalonia.com
48,afferent technologies,"Afferent Technologies innova en el ámbito de la instrumentación para neurofisiología clínica. En particular, desarrolla una nueva tecnología de amplificadores y estimuladores para el sistema nervioso central, nervios periféricos y músculo.",Development & Manufacturing,,HealthtechDigital Health Undisclosed Funding,-,,, 2016,,0,http://startupshub.catalonia.com
49,affirma biotech,This company is developing new products to overcome the challenge of chronic and multidrug-resistant infections. Antimicrobial resistance (AMR) has been defined by the World Health Organization as one of the ten major global threats to public health facing humanity.,"Development & Manufacturing, R+D+I Services",,HealthtechNew biological design Undisclosed Funding,-,,, 2020,,0,http://startupshub.catalonia.com
50,aflorithmic,A platform allowing you to create relevant audio content tailored to each listener leading to higher engagement.,Subscription,,ICT & MobileAI & Big Data Series A,Series A,,, 2019,,74,http://startupshub.catalonia.com
51,agricolum,"Agricolum is an innovative app because of the way it has been designed and created, based on the needs of farmers to improve the technical and economic management of their operations. Its most significant features are the fact that it has been designed in a graphic and visual environment based on the use of official open data, data on LPIS-GIS plots, phytosanitary data, register and aerial images, and provides all the data in the cloud so they may be consulted from anywhere and from any device.","Saas, Subscription",,AgritechIoT & Sensors Pre-seed,Pre-seed,,, 2015,,1,http://startupshub.catalonia.com
52,agroptima,Mobile farm management tool for farmers.,Saas,,AgritechCloud & Edge Computing Series A,Series A,,, 2014,,32,http://startupshub.catalonia.com
53,ahead therapeutics,"Ahead Therapeutics is a start-up biotech company that uses a proprietary technology to develop treatments for different auto-immune disorders. It has developed an innovative solution based on the use of PS-liposomes containing auto-autoantigens. Through a biomimetic process, these liposomes can induce antigen specific immune tolerance, thereby interrupting the autoimmune reaction.",,,HealthtechFrontier materials Undisclosed Funding,-,,, 2017,,0,http://startupshub.catalonia.com
54,ahora vuelvo mama,Ahora velvo mama is a platform offering same day roundtrip flights to live unique experiences throughout European cities.,Others,,Traveltech & LeisureCloud & Edge Computing Undisclosed Funding,-,,, 2018,,0,http://startupshub.catalonia.com
55,aire fresco meditación,Aire Fresco es la primera empresa en desarrollar herramientas tecnológicas de base científica para ofrecer a sus clientes empresariales servicios de medición de clima y desempeño laboral así como de intervención temprana en problemas de salud mental.,"Consultancy & Agency, Others",,HealthtechAI & Big DataDigital Content & Media ICT & Mobile Beauty & Personal care  Pre-seed,Pre-seed,,, 2018,,2,http://startupshub.catalonia.com
56,airgo2,"In AirGO we design antipollution fashion such as neck warmers or masks. These ""masks"" are made of different fabrics, which makes them comfortable and 100% flexible.","Development & Manufacturing, Saas",,Sustainable mobilityFrontier materialsFashion & Design  Pre-seed,Pre-seed,,, 2018,,3,http://startupshub.catalonia.com
57,airlens,Optometric Air Lens OAL is a lenses designer company born in Spain from the knowledge of the optometry and binocular vision offering Optometric Lens Design “Progressive lens design adapted to the Phoria”.,,,HealthtechBioengineering & Regenerative medicine Undisclosed Funding,-,,, 2015,,0,http://startupshub.catalonia.com
58,airmony by tbiom,TBIOM's mission is to offer society engineering solutions and products that bring biotechnology and medical or health devices within the grasp of large sectors of the population so they may lengthen their lives and quality of life in a sustainable way.,"Development & Manufacturing, Ecommerce & Trade",,HealthtechDigital HealthBeauty & Personal care Omic Sciences  Seed,Seed,,, 2015,,6,http://startupshub.catalonia.com
59,airning,"Airning is a Start Up specialized in helping passengers know their legal rights and then offering legal assistance in order to claim their flight delays, cancellations and denied boarding, as well as baggage losses. Come visit www.airning.com and check if your flight is elegible to get a compensation!","Advertising, Consultancy & Agency, Saas, Software licence, Subscription",,Traveltech & LeisureAI & Big DataSustainable mobility  Seed,Seed,,, 2016,,12,http://startupshub.catalonia.com
60,airtven latam,Platform to give credits to those affected for the phandemic,"Advertising, Saas, Subscription",,Business Services & SoftwareNo technology assigned Pre-seed,Pre-seed,,, 2019,,2,http://startupshub.catalonia.com
61,aistech space,"Analytics firm that focuses on capturing, transforming and managing information from space. The business idea involves capturing data of different types from the entire planet to transform it into high-value information for the customers.",,,ICT & MobileAI & Big Data Undisclosed Funding,-,,, 2015,,8,http://startupshub.catalonia.com
62,akalta,Software,Development & Manufacturing,,ICT & MobileIoT & Sensors Undisclosed Funding,-,,, 2020,,0,http://startupshub.catalonia.com
63,akiles,"Akiles is a venture-funded startup headquartered in Barcelona. Our mission is to revolutionize the way people access by allowing them to open any door being anywhere and anytime just with their smartphone. On our race to becoming the market leader we are continuously developing the best products offered as a service to our customers. Do you imagine Amazon orders with a 100% of delivery rate? And being able to visit your next dream home by yourself, with no sales people around? Now is possible!",Subscription,,HardwareIoT & SensorsRobotics & Collaborative Robotics  Series A,Series A,,, 2018,,0,http://startupshub.catalonia.com
64,akoraa,"Akoraa is a  Data driven Marketing platform to track user behavior even in the Most Secure Areas. We help enterprises to collect, unify and segment their customers data. With Machine Learning Algorithms we can give what enterprise need to segmenting audiences, automating & personalized campaigns","Advertising, Consultancy & Agency, Ecommerce & Trade",,AdtechAI & Big DataDigital Content & Media Ecommerce ICT & Mobile IoT & Sensors  Pre-seed,Pre-seed,,, 2018,,1,http://startupshub.catalonia.com
65,alacarte,"First machine in the world that reduces alcohol, thus calories, from any beverage (wine & spirits) in minutes while preserving the essence of the original. It is an Alacarte solution which allows consumers to choose the % of alcohol to reduce right before consumption.",Development & Manufacturing,,FoodtechAutomation Pre-seed,Pre-seed,,, 2018,,5,http://startupshub.catalonia.com
66,albora,"This company uses high-precision geolocation as a service for infrastructure, logistics and autonomous navigation.","R+D+I Services, Other types of licence",,Logistic TechIoT & SensorsCybersecurity  Seed,Seed,,, 2017,,8,http://startupshub.catalonia.com
67,aldoratech,AldoraTech is focused on designing and manufacturing unmanned aerial systems for parcel delivery. Our drone platforms represents an opportunity for logistics companies to create new services and distribution models with improvements in speed personalization and connectivity contributing to the Smart Cities concept. We work with the mission of contributing to the development of an efficient sustainable and safe last mile delivery while transforming the next-day into the next-minute delivery.,Development & Manufacturing,,Logistic TechAutomation Pre-seed,Pre-seed,,,,,3,http://startupshub.catalonia.com
68,alembeeks,"Governance traceability solutions for boards of directors, institutional investors and proxy voting.","Consultancy & Agency, Saas",,FintechAI & Big DataLegaltech  Pre-seed,Pre-seed,,, 2014,,5,http://startupshub.catalonia.com
69,alertasubastas,Alertes de subhastes públiques,Subscription,,ProptechFrontier materials Pre-seed,Pre-seed,,, 2016,,0,http://startupshub.catalonia.com
70,alibava systems,"Our mission is to provide technological products and services to the High Energy and Nuclear Physics research community from readout and characterization electronics, to radiation detector development and fabrication, custom engineering services.","Development & Manufacturing, R+D+I Services",,HealthtechPhotonics & Quantum Sciences Pre-seed,Pre-seed,,, 2011,,12,http://startupshub.catalonia.com
71,alice's garden,Alice's Garden is a direct-connection business to consumer marketplace where is offered a wide range of garden decoration products.,"Advertising, Ecommerce & Trade, Marketplace",,Fashion & DesignIoT & Sensors Pre-seed,Pre-seed,,, 2014,,11,http://startupshub.catalonia.com
72,alimentium,Alimentium is the union of technological solutions aimed at the management and treatment of information and food safety.,,,FoodtechCloud & Edge Computing Undisclosed Funding,-,,, 2014,,0,http://startupshub.catalonia.com
73,aliquia,aliquia.com is an online auction platform.,Marketplace,,ProptechIoT & Sensors Pre-seed,Pre-seed,,, 2011,,2,http://startupshub.catalonia.com
74,alkiloo,"alkiloo is a simple, powerful platform upon which any private individual or professional may offer their articles to other users for hire.",Marketplace,,EcommerceIoT & Sensors Seed,Seed,,, 2012,,0,http://startupshub.catalonia.com
75,allwize,"Our goal is to finally give power to cities to become truly smart - or Wize as we say. For this purpose we have created the simplest IoT applications for end users that do not want to bother with technicalities - and this is totally understandable, IoT is so complex!","Development & Manufacturing, Other types of licence, Others",,ProptechIoT & SensorsICT & Mobile  Undisclosed Funding,-,,, 2017,,0,http://startupshub.catalonia.com
76,allergeneat,"Food sensitive people (gluten free, lactose free, vegans, vegetarians, etc.) have to read 100% of the labels at grocery shopping looking for the ingredients that they can't eat, also, they can buy a wrong product because of misreading labels.  Allergeneat solves that problem. Users only have to put their food sensitivities in their profile and bring the barcode closer to the camera of their smartphones, in less than half a second, they know if the product is able or not for their consume.","Advertising, Marketplace, Software licence",,HealthtechAI & Big DataBeauty & Personal care  Pre-seed,Pre-seed,,, 2017,,2,http://startupshub.catalonia.com
77,allogio,"Allogio defines itself as a brand of mobile accessories with style, a great variety of designs and colors, making them essential elements of the wardrobe.",Ecommerce & Trade,,Fashion & DesignNo technology assigned Pre-seed,Pre-seed,,, 2017,,0,http://startupshub.catalonia.com
78,allread,"AllRead is a company that processes images taken by fixed or mobile camera, extracts the information needed, and feeds it to information management system and personalized dashboards.",Development & Manufacturing,,Business Services & SoftwareAI & Big Data Seed,Seed,,, 2019,,0,http://startupshub.catalonia.com
79,aloha gravity,"Vega Chargers has created a new charging concept for electric vehicles. The customer will be able to recharge their vehicle more quickly. For example, its Aloha Gravity charger is ideal for installations where users stay between 30 minutes and 3 hours, such as shopping malls, events, cinemas, theaters, car parks, restaurants, carsharing, etc. A standard charging session will charge a full 70% of the battery. The equipment provides 200 km of autonomy for each hour of charge.","Development & Manufacturing, R+D+I Services",,Sustainable mobilityElectric Vehicle & Micromobility Undisclosed Funding,-,,, 2019,,6,http://startupshub.catalonia.com
80,alta guardia,"Somos la primera empresa de alarmas de seguridad ""sharing"", donde el cliente escoge el periodo de tiempo por el cual necesita la alarma y paga solo por el tiempo reservado. Sin comprar la alarma, contratos de larga duración ni cuotas fijas mensuales.",Saas,,HardwareAdditive manufacturing Pre-seed,Pre-seed,,, 2020,,0,http://startupshub.catalonia.com
81,altanetica,"Altanetica is the first operator to offer very high-speed symmetrical, radio connection Internet access of up to 40 Mb at very competitive prices.",,,ICT & MobileCybersecurity Undisclosed Funding,-,,, 2011,,10,http://startupshub.catalonia.com
82,alteraid,We are a team of passionate people whose goal is to improve patients' life through disruptive products. We build great solutions to solve your daily problems. Our products are designed for patients willing to improve their quality of life.,"R+D+I Services, Saas",,HealthtechAI & Big Data Undisclosed Funding,-,,, 2011,,5,http://startupshub.catalonia.com
83,alumniverse,We develop a software that enables educational institutions to set up and run an exclusive online platform for their alumni community to keep its members connected and engaged. We also offer all the tools so that this community can be managed in an efficient and centralized way.,R+D+I Services,,Business Services & SoftwareConnectivity Seed,Seed,,, 2020,,8,http://startupshub.catalonia.com
84,amenitiz,"Amenitiz is an all-in-one platform to help owners grow and manage their vacation properties by making attracting guests,managing bookings and crafting exceptional experiences, simple and easy.",Others,,Business Services & SoftwareCloud & Edge Computing Series C,Series C,,, 2017,,0,http://startupshub.catalonia.com
85,amphora logistics,"Amphora provides a full logistic solution for Ecommerce shops. To put it simply, you sell and we do the rest. We cover all the stages of your fulfillment, including receiving and storing your product in our network of warehouses, preparing your orders (pick & pack) and shipping them to your final customer. We even manage your returns so that you can focus all your attention in growing your business. In Amphora we have developed an in-house software where you can manage all your logistics.","Saas, Subscription",,Logistic TechAI & Big Data Seed,Seed,,, 2020,,6,http://startupshub.catalonia.com
86,anaconda biomed,Development of medical devices for the treatment of acute ischaemic strokes.,"Development & Manufacturing, R+D+I Services",,HealthtechAutomation Series B,Series B,,, 2015,,12,http://startupshub.catalonia.com
87,anawin,Blockchain technology applied to wine value chain traceability,Saas,,AgritechNo technology assigned Undisclosed Funding,-,,, 2016,,7,http://startupshub.catalonia.com
88,angiotheragnostics,AtG develops novel classes of drugs and biomarkers to prevent cancer therapeutic resistance,"R+D+I Services, Software licence",,HealthtechNew biological design Undisclosed Funding,-,,,,,0,http://startupshub.catalonia.com
89,aniling,"Aniling is developing a proprietary, first-in-class solution that enables simultaneous genome and epigenome analysis for research and clinical use to advance personalized medicine. The patented technology is compatible with all next generation sequencing platforms and produces analyses with significantly higher quality and at lower costs than existing solutions. The company is currently launching the solution in the research market and initiating clinical validation studies in specific diseases.","R+D+I Services, Other types of licence",,HealthtechOmic SciencesCloud & Edge Computing  Seed,Seed,,, 2014,,7,http://startupshub.catalonia.com
90,animal hero,"Animal Hero is a therapeutic video game for children with Down Syndrome and other disabilities, designed to improve and strengthen certain cognitive abilities and encourage a more fun and creative way to learn.",,,GamingAR/VR Pre-seed,Pre-seed,,, 2019,,0,http://startupshub.catalonia.com
91,ansur solutions barcelona,"AnsuR develops and sells the RAIDO system, target for mission-critical visual situational awareness. An operationally relevant picture can say more than a thousand words.",,,Business Services & SoftwareRobotics & Collaborative RoboticsHardware  Undisclosed Funding,-,,, 2013,,0,http://startupshub.catalonia.com
92,antfluence,Antfluence is a Location intelligence and Proximity Marketing system that allows our customers to monitor the behavior of people gathered in a limited space and influence their purchase and behaviour decisions.,"Saas, Software licence",,ICT & MobileAI & Big Data Seed,Seed,,, 2012,,5,http://startupshub.catalonia.com
93,antidote by sekg,"Antidote's mission is to revolutionise how user experiences are measured, analysed and improved in digital entertainment.  A cloud based UX / playtesting solution to help videogame studios manage their own playtests and UX studies remotely, getting faster and more objective insights on players experience that will save costs and time.  Our platform and services will help studios to create more engaging experiences while optimizing their investments.","Saas, Other types of licence",,GamingAI & Big Data Seed,Seed,,, 2015,,5,http://startupshub.catalonia.com
94,aortyx,Design and development  of a new generation of medical devices to treat aortic diseases.,Development & Manufacturing,,HealthtechFrontier materials Series A,Series A,,, 2018,,5,http://startupshub.catalonia.com
95,apambu,Apambu es una solución SaaS que proporciona una visión global de toda la información sobre RSC gracias a los indicadores ambientales laborales sociales económicos y de gobernanza más relevantes. Permite a los usuarios cumplir con las obligaciones legales descargar informes de acuerdo con las normas internacionales de información y orienta su estrategia mediante el desarrollo de planes de acción.,Subscription,,Green & EnergytechCloud & Edge Computing Undisclosed Funding,-,,, 2020,,5,http://startupshub.catalonia.com
96,aparcar,"Gestionem i instal.lem punts de recàrrega per a vehicles elèctrics. Tenim una solució única, patentada, d'aplicació a parkings comunitaris (és el nostre camp principal d'actuació). Fem una preinstal.lació que prepara el parking perquè els veïns puguin connectar els seus vehicles.","Development & Manufacturing, Subscription",,Sustainable mobilityElectric Vehicle & Micromobility Pre-seed,Pre-seed,,, 2016,,4,http://startupshub.catalonia.com
97,aparentia,"Augmented Reality and Virtual Reality Development. Special projects, holograms, special events where technology is added value.",Consultancy & Agency,,ICT & MobileAR/VR Pre-seed,Pre-seed,,, 2014,,1,http://startupshub.catalonia.com
